Id,Sobrevivió,Clase,Sexo,Edad,HerEsp,PadHij,Precio,Embarcó,GruposEdad,HerEsp + PadHij,SolAcom
1,0,3,male,22.0,1,0,7.25,S,Adulto jóven,1,Acompañado
2,1,1,female,38.0,1,0,71.2833,C,Adulto,1,Acompañado
3,1,3,female,26.0,0,0,7.925,S,Adulto jóven,0,Solo
4,1,1,female,35.0,1,0,53.1,S,Adulto,1,Acompañado
5,0,3,male,35.0,0,0,8.05,S,Adulto,0,Solo
6,0,3,male,,0,0,8.4583,Q,,0,Solo
7,0,1,male,54.0,0,0,51.8625,S,Adulto mayor,0,Solo
8,0,3,male,2.0,3,1,21.075,S,Niño,4,Acompañado
9,1,3,female,27.0,0,2,11.1333,S,Adulto jóven,2,Acompañado
10,1,2,female,14.0,1,0,30.0708,C,Adolescente,1,Acompañado
11,1,3,female,4.0,1,1,16.7,S,Niño,2,Acompañado
12,1,1,female,58.0,0,0,26.55,S,Adulto mayor,0,Solo
13,0,3,male,20.0,0,0,8.05,S,Adulto jóven,0,Solo
14,0,3,male,39.0,1,5,31.275,S,Adulto,6,Acompañado
15,0,3,female,14.0,0,0,7.8542,S,Adolescente,0,Solo
16,1,2,female,55.0,0,0,16.0,S,Adulto mayor,0,Solo
17,0,3,male,2.0,4,1,29.125,Q,Niño,5,Acompañado
18,1,2,male,,0,0,13.0,S,,0,Solo
19,0,3,female,31.0,1,0,18.0,S,Adulto,1,Acompañado
20,1,3,female,,0,0,7.225,C,,0,Solo
21,0,2,male,35.0,0,0,26.0,S,Adulto,0,Solo
22,1,2,male,34.0,0,0,13.0,S,Adulto,0,Solo
23,1,3,female,15.0,0,0,8.0292,Q,Adolescente,0,Solo
24,1,1,male,28.0,0,0,35.5,S,Adulto jóven,0,Solo
25,0,3,female,8.0,3,1,21.075,S,Niño,4,Acompañado
26,1,3,female,38.0,1,5,31.3875,S,Adulto,6,Acompañado
27,0,3,male,,0,0,7.225,C,,0,Solo
28,0,1,male,19.0,3,2,263.0,S,Adulto jóven,5,Acompañado
29,1,3,female,,0,0,7.8792,Q,,0,Solo
30,0,3,male,,0,0,7.8958,S,,0,Solo
31,0,1,male,40.0,0,0,27.7208,C,Adulto,0,Solo
32,1,1,female,,1,0,146.5208,C,,1,Acompañado
33,1,3,female,,0,0,7.75,Q,,0,Solo
34,0,2,male,66.0,0,0,10.5,S,Adulto mayor,0,Solo
35,0,1,male,28.0,1,0,82.1708,C,Adulto jóven,1,Acompañado
36,0,1,male,42.0,1,0,52.0,S,Adulto,1,Acompañado
37,1,3,male,,0,0,7.2292,C,,0,Solo
38,0,3,male,21.0,0,0,8.05,S,Adulto jóven,0,Solo
39,0,3,female,18.0,2,0,18.0,S,Adolescente,2,Acompañado
40,1,3,female,14.0,1,0,11.2417,C,Adolescente,1,Acompañado
41,0,3,female,40.0,1,0,9.475,S,Adulto,1,Acompañado
42,0,2,female,27.0,1,0,21.0,S,Adulto jóven,1,Acompañado
43,0,3,male,,0,0,7.8958,C,,0,Solo
44,1,2,female,3.0,1,2,41.5792,C,Niño,3,Acompañado
45,1,3,female,19.0,0,0,7.8792,Q,Adulto jóven,0,Solo
46,0,3,male,,0,0,8.05,S,,0,Solo
47,0,3,male,,1,0,15.5,Q,,1,Acompañado
48,1,3,female,,0,0,7.75,Q,,0,Solo
49,0,3,male,,2,0,21.6792,C,,2,Acompañado
50,0,3,female,18.0,1,0,17.8,S,Adolescente,1,Acompañado
51,0,3,male,7.0,4,1,39.6875,S,Niño,5,Acompañado
52,0,3,male,21.0,0,0,7.8,S,Adulto jóven,0,Solo
53,1,1,female,49.0,1,0,76.7292,C,Adulto,1,Acompañado
54,1,2,female,29.0,1,0,26.0,S,Adulto jóven,1,Acompañado
55,0,1,male,65.0,0,1,61.9792,C,Adulto mayor,1,Acompañado
56,1,1,male,,0,0,35.5,S,,0,Solo
57,1,2,female,21.0,0,0,10.5,S,Adulto jóven,0,Solo
58,0,3,male,28.5,0,0,7.2292,C,Adulto jóven,0,Solo
59,1,2,female,5.0,1,2,27.75,S,Niño,3,Acompañado
60,0,3,male,11.0,5,2,46.9,S,Niño,7,Acompañado
61,0,3,male,22.0,0,0,7.2292,C,Adulto jóven,0,Solo
62,1,1,female,38.0,0,0,80.0,S,Adulto,0,Solo
63,0,1,male,45.0,1,0,83.475,S,Adulto,1,Acompañado
64,0,3,male,4.0,3,2,27.9,S,Niño,5,Acompañado
65,0,1,male,,0,0,27.7208,C,,0,Solo
66,1,3,male,,1,1,15.2458,C,,2,Acompañado
67,1,2,female,29.0,0,0,10.5,S,Adulto jóven,0,Solo
68,0,3,male,19.0,0,0,8.1583,S,Adulto jóven,0,Solo
69,1,3,female,17.0,4,2,7.925,S,Adolescente,6,Acompañado
70,0,3,male,26.0,2,0,8.6625,S,Adulto jóven,2,Acompañado
71,0,2,male,32.0,0,0,10.5,S,Adulto,0,Solo
72,0,3,female,16.0,5,2,46.9,S,Adolescente,7,Acompañado
73,0,2,male,21.0,0,0,73.5,S,Adulto jóven,0,Solo
74,0,3,male,26.0,1,0,14.4542,C,Adulto jóven,1,Acompañado
75,1,3,male,32.0,0,0,56.4958,S,Adulto,0,Solo
76,0,3,male,25.0,0,0,7.65,S,Adulto jóven,0,Solo
77,0,3,male,,0,0,7.8958,S,,0,Solo
78,0,3,male,,0,0,8.05,S,,0,Solo
79,1,2,male,0.83,0,2,29.0,S,Niño,2,Acompañado
80,1,3,female,30.0,0,0,12.475,S,Adulto,0,Solo
81,0,3,male,22.0,0,0,9.0,S,Adulto jóven,0,Solo
82,1,3,male,29.0,0,0,9.5,S,Adulto jóven,0,Solo
83,1,3,female,,0,0,7.7875,Q,,0,Solo
84,0,1,male,28.0,0,0,47.1,S,Adulto jóven,0,Solo
85,1,2,female,17.0,0,0,10.5,S,Adolescente,0,Solo
86,1,3,female,33.0,3,0,15.85,S,Adulto,3,Acompañado
87,0,3,male,16.0,1,3,34.375,S,Adolescente,4,Acompañado
88,0,3,male,,0,0,8.05,S,,0,Solo
89,1,1,female,23.0,3,2,263.0,S,Adulto jóven,5,Acompañado
90,0,3,male,24.0,0,0,8.05,S,Adulto jóven,0,Solo
91,0,3,male,29.0,0,0,8.05,S,Adulto jóven,0,Solo
92,0,3,male,20.0,0,0,7.8542,S,Adulto jóven,0,Solo
93,0,1,male,46.0,1,0,61.175,S,Adulto,1,Acompañado
94,0,3,male,26.0,1,2,20.575,S,Adulto jóven,3,Acompañado
95,0,3,male,59.0,0,0,7.25,S,Adulto mayor,0,Solo
96,0,3,male,,0,0,8.05,S,,0,Solo
97,0,1,male,71.0,0,0,34.6542,C,Adulto mayor,0,Solo
98,1,1,male,23.0,0,1,63.3583,C,Adulto jóven,1,Acompañado
99,1,2,female,34.0,0,1,23.0,S,Adulto,1,Acompañado
100,0,2,male,34.0,1,0,26.0,S,Adulto,1,Acompañado
101,0,3,female,28.0,0,0,7.8958,S,Adulto jóven,0,Solo
102,0,3,male,,0,0,7.8958,S,,0,Solo
103,0,1,male,21.0,0,1,77.2875,S,Adulto jóven,1,Acompañado
104,0,3,male,33.0,0,0,8.6542,S,Adulto,0,Solo
105,0,3,male,37.0,2,0,7.925,S,Adulto,2,Acompañado
106,0,3,male,28.0,0,0,7.8958,S,Adulto jóven,0,Solo
107,1,3,female,21.0,0,0,7.65,S,Adulto jóven,0,Solo
108,1,3,male,,0,0,7.775,S,,0,Solo
109,0,3,male,38.0,0,0,7.8958,S,Adulto,0,Solo
110,1,3,female,,1,0,24.15,Q,,1,Acompañado
111,0,1,male,47.0,0,0,52.0,S,Adulto,0,Solo
112,0,3,female,14.5,1,0,14.4542,C,Adolescente,1,Acompañado
113,0,3,male,22.0,0,0,8.05,S,Adulto jóven,0,Solo
114,0,3,female,20.0,1,0,9.825,S,Adulto jóven,1,Acompañado
115,0,3,female,17.0,0,0,14.4583,C,Adolescente,0,Solo
116,0,3,male,21.0,0,0,7.925,S,Adulto jóven,0,Solo
117,0,3,male,70.5,0,0,7.75,Q,Adulto mayor,0,Solo
118,0,2,male,29.0,1,0,21.0,S,Adulto jóven,1,Acompañado
119,0,1,male,24.0,0,1,247.5208,C,Adulto jóven,1,Acompañado
